site,latitude,longitude,sampling_date,beach_width,x100m_buffer,x200m_buffer,wave_exposure,aspect,slope_mean,percent_boulder,percent_cobble,percent_pebble,percent_granule,percent_sand,wind_direction,wind_speed,wave_height,wave_period,high_tide
Cruise,57.12442,-135.39061,2022-08-30T00:00:00Z,35,4886,6249,Semi-protected,231,8.1,0,0.245,0.755,0,0,170.3,3.95,1.467,10.107,2.87
Eagle,57.04676,-135.30766,2022-08-14T00:00:00Z,95,12198,42104,Protected,286,5.6,0,0.07,0.93,0,0,137.1,10.65,2.07,6.683,3.32
Ferry,57.04736,-135.29689,2022-08-11T00:00:00Z,59,6827,11265,Protected,180,10.1,0.135,0,0.865,0,0,283.8,3.572,1.154,7.36,3.43
Halibut,57.10227,-135.40129,2022-08-25T00:00:00Z,117,17717,34549,Semi-protected,270,9.5,0,0.09,0.91,0,0,155,4.781,1.335,7.613,2.84
Harbor,57.0884,-135.3851,2022-08-16T00:00:00Z,43,6101,10593,Semi-protected,219,8.6,0,0.205,0.795,0,0,123.9,5.897,1.19,10.53,2.79
Indian,57.04532,-135.31259,2022-09-10T00:00:00Z,286,17562,75915,Protected,320,9.7,0,0.03,0.9,0.035,0.035,302.7,4.433,3.142,10.913,3.35
Jamestown,57.04678,-135.29126,2022-08-24T00:00:00Z,31,5853,9120,Protected,187,12,0.205,0.175,0.62,0,0,143.1,8.436,1.457,10.152,2.71
Magic,57.09881,-135.39892,2022-08-09T00:00:00Z,58,11960,30471,Semi-protected,191,8.6,0,0.07,0.93,0,0,312.4,4.556,1.242,7.812,3.12
Mosquito,57.13763,-135.3732,2022-09-01T00:00:00Z,31,4129,8583,Semi-protected,245,9.5,0.025,0,0.63,0.32,0.025,213.1,2.881,1.277,9.79,2.52
NetIsland,57.09081,-135.38999,2022-08-26T00:00:00Z,55,9054,15536,Semi-protected,228,9.2,0,0.095,0.905,0,0,294.8,5.294,1.17,16,2.94
OldSitka,57.13132,-135.37245,2022-08-12T00:00:00Z,75,12551,40549,Protected,22,9.7,0,0,0.98,0.02,0,329.7,3.82,1.188,8.117,3.5
Private,57.04456,-135.30503,2022-08-17T00:00:00Z,23,7534,14264,Protected,269,13.9,0,0.065,0.935,0,0,143.8,13.039,3.437,7.875,2.47
Sandy,57.07611,-135.37424,2022-08-06T00:00:00Z,62,16530,26971,Semi-protected,215,18.3,0,0.265,0.735,0,0,244.7,6.984,2.438,8.263,1.91
Shotgun,57.12682,-135.38631,2022-08-29T00:00:00Z,20,2061,5307,Protected,350,10.7,0,0,0.815,0.185,0,166,6.719,1.522,8.71,2.97
Totem,57.04743,-135.31858,2022-09-09T00:00:00Z,202,17869,60308,Protected,226,11.2,0,0.17,0.805,0.025,0,195,5.117,1.307,6.407,3.29
